"$id","time","hook_load","oil_temp_gearbox","oil_temp_swivel","pressure_gearbox","rpm","temp_ambient","torque","wob","mru_pos","mru_vel","ram_pos_measured","ram_pos_setpoint","ram_vel_measured","ram_vel_setpoint","friction_coeff"
0,"2013-01-09T20:36:19",90.0996,31.164139469420764,36.0825,2.924405958446698,108.07541428159816,17.5,14.36967162645219,4.3772199999999994,113.532,183.483,18819.9,18815,138.0707829181495,0,0
1,"2013-01-09T20:36:20",90.4294,31.16271683589966,36.081502763116745,2.9233488226564432,108.09870471571264,17.5,14.39512962466488,5.1483799999999995,256.98821794871793,104.77088461538462,18933.28125,18929.05625,88.22352068965517,0,0.002102552233076049
2,"2013-01-09T20:36:21",89.9,31.161294202378553,36.080505526233495,2.922291686866189,108.12199514982713,17.5,14.456078309859155,4.94208255319149,304.17331487513576,13.144335,18963.8,18963.766981132074,8.684393002207505,0,0.0020931725425077556
3,"2013-01-09T20:36:22",91.2337,31.15987156885745,36.07950828935024,2.9212345510759334,108.14528558394161,17.5,14.503881281864532,3.3909975806451613,271.87078723404255,-85.27991048387096,18941.920967741935,18944.96612903226,-50.320224193548384,0,0.0020849526963469577
4,"2013-01-09T20:36:23",91.63865,31.158448935336345,36.07851105246698,2.920177415285679,108.1685760180561,17.5,14.42157975236708,3.0015808510638298,146.08744680851063,-158.5203404255319,18821.087234042552,18828.26595744681,-147.99030769230768,0,0.0020959690697057616
5,"2013-01-09T20:36:24",92.68785,31.157026301815243,36.07751381558373,2.919120279495424,108.19186645217057,17.5,14.214319230769231,1.7849357142857143,-36.80867142857143,-190.88914251781475,18663.342857142856,18670.285714285714,-153.93132413178984,0,0.0021252786557224555
6,"2013-01-09T20:36:25",93.6561,31.155603668294138,36.07651657870046,2.91830211750306,108.21515688628506,17.5,14.112304123396457,1.185455229357798,-224.19155319148936,-168.9227435897436,18508.21914893617,18515.73829787234,-149.4103980409617,0,0.0021403784355481775
7,"2013-01-09T20:36:26",94.2327,31.154181034773032,36.07551934181721,2.9192364300285596,108.23844732039954,17.5,14.033570454545455,0.6615,-360.57091489361704,-101.7281159574468,18374.84255319149,18380.868085106384,-116.07658974358975,0,0.002151453780237849
8,"2013-01-09T20:36:27",94.5413,31.15275840125193,36.074522104933955,2.9201707425540597,108.26173775451402,17.5,13.907189921465969,0.6941830434782609,-420.4630641025641,-14.238345652173914,18297.002173913042,18299.08695652174,-58.3992652173913,0,0.002170028272829778
9,"2013-01-09T20:36:28",94.18355,31.151335767730824,36.0735248680507,2.9211050550795594,108.2850281886285,17.5,13.825925952065871,0.94513,-391.717,72.0564,18280.663879003558,18280.655516014234,-4.405702222222223,0,0.002182775533469136
